,rest_cnt,review_cnt,review_link
133,134,192,https://www.yelp.com//biz/bawarchi-sunnyvale-4?osq=Indian+Vegetarian+Restaurant
134,135,455,https://www.yelp.com//biz/bombay-to-goa-sunnyvale?osq=Indian+Vegetarian+Restaurant
135,136,465,https://www.yelp.com//biz/inchins-bamboo-garden-san-jose?osq=Indian+Vegetarian+Restaurant
136,137,395,https://www.yelp.com//biz/biryaniz-milpitas?osq=Indian+Vegetarian+Restaurant
137,138,10,https://www.yelp.com//biz/shaan-cupertino-2?osq=Indian+Vegetarian+Restaurant
138,139,29,https://www.yelp.com//biz/desi-bazar-desi-kitchen-sunnyvale?osq=Indian+Vegetarian+Restaurant
139,140,63,https://www.yelp.com//biz/lakshmi-bazaar-san-jose?osq=Indian+Vegetarian+Restaurant
140,141,754,https://www.yelp.com//biz/aqui-cal-mex-cupertino-3?osq=Indian+Vegetarian+Restaurant
141,142,57,https://www.yelp.com//biz/selam-restaurant-and-cafe-san-jose?osq=Indian+Vegetarian+Restaurant
142,143,296,https://www.yelp.com//biz/shan-restaurant-cupertino-2?osq=Indian+Vegetarian+Restaurant
143,144,734,https://www.yelp.com//biz/shalimar-restaurant-sunnyvale-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
144,145,1290,https://www.yelp.com//biz/ikes-love-and-sandwiches-cupertino-2?osq=Indian+Vegetarian+Restaurant
145,146,138,https://www.yelp.com//biz/kategna-ethiopian-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant
146,147,65,https://www.yelp.com//biz/chutney-marys-food-truck-santa-clara-2?osq=Indian+Vegetarian+Restaurant
147,148,507,https://www.yelp.com//biz/jerusalem-grill-campbell-6?osq=Indian+Vegetarian+Restaurant
148,149,64,https://www.yelp.com//biz/medina-kabob-house-santa-clara?osq=Indian+Vegetarian+Restaurant
149,150,14,https://www.yelp.com//biz/biryani-bus-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
150,151,72,https://www.yelp.com//biz/the-everest-momo-milpitas?osq=Indian+Vegetarian+Restaurant
151,152,53,https://www.yelp.com//biz/lunch-box-san-jose-2?osq=Indian+Vegetarian+Restaurant
152,153,759,https://www.yelp.com//biz/sweet-tomatoes-san-jose-3?osq=Indian+Vegetarian+Restaurant
153,154,99,https://www.yelp.com//biz/momo-grill-truck-sunnyvale?osq=Indian+Vegetarian+Restaurant
154,155,1023,https://www.yelp.com//biz/kabul-afghan-cuisine-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
155,156,334,https://www.yelp.com//biz/m-asian-fusion-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant
156,157,761,https://www.yelp.com//biz/vn-grill-san-jose?osq=Indian+Vegetarian+Restaurant
157,158,81,https://www.yelp.com//biz/biryani-hut-milpitas-2?osq=Indian+Vegetarian+Restaurant
158,159,385,https://www.yelp.com//biz/grab-a-pita-san-jose?osq=Indian+Vegetarian+Restaurant
159,160,472,https://www.yelp.com//biz/gojo-ethiopian-restaurant-san-jose-2?osq=Indian+Vegetarian+Restaurant
160,161,1523,https://www.yelp.com//biz/zeni-ethiopian-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant
161,162,351,https://www.yelp.com//biz/falafel-bite-milpitas-milpitas?osq=Indian+Vegetarian+Restaurant
162,163,387,https://www.yelp.com//biz/mudai-ethiopian-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant
163,164,897,https://www.yelp.com//biz/tayyibaat-meat-and-grill-milpitas-4?osq=Indian+Vegetarian+Restaurant
164,165,24,https://www.yelp.com//biz/carrots-food-truck-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
165,166,988,https://www.yelp.com//biz/the-halal-guys-san-jose-2?osq=Indian+Vegetarian+Restaurant
166,167,136,https://www.yelp.com//biz/taqueria-patzcuaro-sunnyvale?osq=Indian+Vegetarian+Restaurant
167,168,85,https://www.yelp.com//biz/the-baba-kabob-truck-san-jose-3?osq=Indian+Vegetarian+Restaurant
168,169,114,https://www.yelp.com//biz/round-table-pizza-campbell-6?osq=Indian+Vegetarian+Restaurant
169,170,981,https://www.yelp.com//biz/dish-n-dash-sunnyvale?osq=Indian+Vegetarian+Restaurant
170,171,1050,https://www.yelp.com//biz/blue-line-pizza-campbell?osq=Indian+Vegetarian+Restaurant
171,172,363,https://www.yelp.com//biz/sajj-mediterranean-san-jose?osq=Indian+Vegetarian+Restaurant
172,173,157,https://www.yelp.com//biz/madd-mex-cantina-food-truck-san-mateo-3?osq=Indian+Vegetarian+Restaurant
173,174,167,https://www.yelp.com//biz/eat-on-monday-mountain-view-3?osq=Indian+Vegetarian+Restaurant
174,175,285,https://www.yelp.com//biz/phillys-cheesesteaks-and-wings-san-jose?osq=Indian+Vegetarian+Restaurant
175,176,873,https://www.yelp.com//biz/darda-seafood-restaurant-milpitas?osq=Indian+Vegetarian+Restaurant
176,177,382,https://www.yelp.com//biz/treatbot-the-karaoke-ice-cream-truck-san-jose-3?osq=Indian+Vegetarian+Restaurant
177,178,60,https://www.yelp.com//biz/tacos-lujano-mountain-view-5?osq=Indian+Vegetarian+Restaurant
178,179,260,https://www.yelp.com//biz/bbq-kalbi-san-jose?osq=Indian+Vegetarian+Restaurant
179,180,621,https://www.yelp.com//biz/mas-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant
180,181,713,https://www.yelp.com//biz/p-f-changs-sunnyvale-3?osq=Indian+Vegetarian+Restaurant
181,182,331,https://www.yelp.com//biz/hobees-restaurant-deanza-cupertino?osq=Indian+Vegetarian+Restaurant
182,183,474,https://www.yelp.com//biz/el-torito-milpitas?osq=Indian+Vegetarian+Restaurant
183,184,90,https://www.yelp.com//biz/round-table-pizza-san-jose-16?osq=Indian+Vegetarian+Restaurant
